"Name","Gross Export","Share","Code","Sector"
"Horses","276271808","0.012995206647621946","0101","Agriculture"
"Bovine","286800640","0.013490459306909189","0102","Agriculture"
"Swine","23359764","0.0010987909429386288","0103","Agriculture"
"Sheep","3061406","0.00014400167679168231","0104","Agriculture"
"Fowl","235621632","0.011083113476746537","0105","Agriculture"
"Other live animals","103666384","0.004876234358634701","0106","Agriculture"
"Beef","3480355840","0.16370813828408384","0201","Agriculture"
"Beef (frozen)","2928618496","0.13775565021664382","0202","Agriculture"
"Pork","5844922880","0.27493207220410126","0203","Agriculture"
"Lamb","17378006","0.0008174224533746637","0204","Agriculture"
"Horse meat","54603","0.00000256840273973992","0205","Agriculture"
"Edible offal","1435667840","0.06753059746923232","0206","Agriculture"
"Poultry","3713814528","0.17468951172281957","0207","Agriculture"
"Other meat","6098782","0.0002868730362411682","0208","Agriculture"
"Pig and poultry fat","44297688","0.002083663960283211","0209","Agriculture"
"Preserved meat","259826848","0.012221672586875955","0210","Agriculture"
"Live Fish","36251016","0.0017051665441963932","0301","Agriculture"
"Fish, excluding fillets","191408800","0.009003440952517818","0302","Agriculture"
"Frozen fish, excluding fillets","1480900864","0.0696582575386117","0303","Agriculture"
"Fish fillets","1215520128","0.05717534250799806","0304","Agriculture"
"Preserved fish","31059306","0.0014609601418387366","0305","Agriculture"
"Crustaceans","629075584","0.02959030554088768","0306","Agriculture"
"Molluscs","245676992","0.011556095074334053","0307","Agriculture"
"Milk","121800160","0.005729206538922048","0401","Agriculture"
"Milk, concentrated","2128900096","0.10013868906834748","0402","Agriculture"
"Fermented milk products","92773504","0.004363857697358614","0403","Agriculture"
"Whey","722258752","0.0339734329146372","0404","Agriculture"
"Butter","100266448","0.004716308989381356","0405","Agriculture"
"Cheese","1572538880","0.07396870442538953","0406","Agriculture"
"Eggs, in shell","452537472","0.02128634842261006","0407","Agriculture"
"Egg yolks","91785336","0.004317376489393423","0408","Agriculture"
"Honey","24922360","0.0011722919565735322","0409","Agriculture"
"Edible animal products, n.e.c.","7636500","0.00035920384451447533","0410","Agriculture"
"Human hair, unworked","2753352","0.00012951150706496688","0501","Agriculture"
"Brushmaking hair","1078651","0.00005073732548803553","0502","Agriculture"
"Animal guts, except fish","527055904","0.02479152844769885","0504","Agriculture"
"Feathers and down","71597256","0.0033677744532033117","0505","Agriculture"
"Bones, simply prepared","48049820","0.0022601558400089736","0506","Agriculture"
"Whalebone & horns","3573732","0.00016810034356896548","0507","Agriculture"
"Coral and shells","3196435","0.00015035313831475504","0508","Agriculture"
"Animal products used in pharmaceuticals","20472646","0.0009629873830398606","0510","Agriculture"
"Animal products n.e.c.","443836096","0.020877055197734008","0511","Agriculture"
"Flower bulbs","9791676","0.000460578493215494","0601","Agriculture"
"Other live plants","309084416","0.01453863818591127","0602","Agriculture"
"Cut flowers","16411977","0.0007719826143499175","0603","Agriculture"
"Other parts of plants","90055624","0.004236014713671191","0604","Agriculture"
"Potatoes","241544816","0.01136172677663086","0701","Agriculture"
"Tomatoes","295417760","0.013895789318385986","0702","Agriculture"
"Onions, shallots, garlic","268942592","0.012650456753759965","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","494022240","0.023237698930616488","0704","Agriculture"
"Lettuce","529621184","0.024912193469404615","0705","Agriculture"
"Carrots & turnips","141768864","0.006668489619753788","0706","Agriculture"
"Cucumbers","58184008","0.002736845330041379","0707","Agriculture"
"Legumes","122912080","0.005781508763605153","0708","Agriculture"
